"sample_year","est","lwr","upr","log_est","se","se_natural","type","model","region","species","est_mean","est_mean_sd"
2024,70228.1089851183,19310.9145447857,255398.949655514,11.1595039227635,0.658725465082814,23696.9944918838,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2025,916.966735217652,150.211968738795,5597.60983465868,6.82107119593617,0.922988273613878,385.264290195178,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2004,902804.712312102,633326.505443739,1286944.95109102,13.7132615435753,0.180880960997013,124558.728140753,"index","nbs.jellyfish","NBS","Jellyfish",1159460.94150434,624645.47477308
2005,774135.123698564,465068.238640066,1288596.25309223,13.5595017157567,0.259985538616893,143842.569751221,"index","nbs.jellyfish","NBS","Jellyfish",1159460.94150434,624645.47477308
2006,266362.153394911,184425.664098045,384701.321847787,12.49261214072,0.18755976485408,36153.8158290912,"index","nbs.jellyfish","NBS","Jellyfish",1159460.94150434,624645.47477308
2007,432191.775304083,294869.0387693,633466.746526195,12.976624693036,0.195074039969135,62577.1100772681,"index","nbs.jellyfish","NBS","Jellyfish",1159460.94150434,624645.47477308
2009,501638.129083421,347291.975471609,724579.979737789,13.125634280331,0.187612196056839,65983.824618543,"index","nbs.jellyfish","NBS","Jellyfish",1159460.94150434,624645.47477308
2010,2126829.77802227,1474737.99983995,3067260.01850713,14.5701430618413,0.186815757829301,297313.883136015,"index","nbs.jellyfish","NBS","Jellyfish",1159460.94150434,624645.47477308
2011,1115101.39866624,775668.572272142,1603070.14330232,13.9244558992494,0.185194876929732,153677.018533112,"index","nbs.jellyfish","NBS","Jellyfish",1159460.94150434,624645.47477308
2012,784877.268478393,486345.382809,1266656.06038258,13.5732826386539,0.244192407479228,134106.707708313,"index","nbs.jellyfish","NBS","Jellyfish",1159460.94150434,624645.47477308
