"sample_year","est","lwr","upr","log_est","se","model","region","species"
2007,12062.5998662385,3002.83004755813,48456.3938779361,9.39786502467938,0.709479645282167,"nbs.capelin","NBS","Capelin"
2009,21894.5275076723,9596.10874325644,49954.6584568553,9.99399199908359,0.420864388096152,"nbs.capelin","NBS","Capelin"
2010,376619.121752511,60300.6638477219,2352245.46163916,12.8389896686175,0.93465558108683,"nbs.capelin","NBS","Capelin"
2011,20756.3096262404,5547.83309193402,77656.3357550777,9.94060555780942,0.673197503424272,"nbs.capelin","NBS","Capelin"
2012,96996.4596674638,34882.9944911233,269710.594668588,11.4824297585459,0.52178256388299,"nbs.capelin","NBS","Capelin"
2013,58048.7225802731,11238.8711729813,299821.409226781,10.9690379813761,0.837721664975995,"nbs.capelin","NBS","Capelin"
2014,25720.5835760518,6568.4093384193,100716.685792281,10.1550468676763,0.696451519572632,"nbs.capelin","NBS","Capelin"
2015,43061.9078013015,7120.65785090612,260415.251275108,10.6703940755872,0.918199872474406,"nbs.capelin","NBS","Capelin"
2016,16811.0576153243,2536.26817847898,111428.144919296,9.72979214026675,0.964988691939093,"nbs.capelin","NBS","Capelin"
2017,140.060257070029,19.1953194766224,1021.96140233111,4.94207273765357,1.01400142108426,"nbs.capelin","NBS","Capelin"
2018,2449.19443388732,541.839056241659,11070.729040081,7.80351444697641,0.769680180725879,"nbs.capelin","NBS","Capelin"
2019,3.51853749061848,0.190338190108214,65.0426804302872,1.25804541765219,1.48829176544818,"nbs.capelin","NBS","Capelin"
2021,193.073798465993,42.2240557174068,882.849622584198,5.26307249128948,0.775566492013306,"nbs.capelin","NBS","Capelin"
2022,9520.16936985247,1405.33875956378,64492.3682734049,9.16116791857804,0.976106842244703,"nbs.capelin","NBS","Capelin"
2023,3613.03147335874,1278.86581760788,10207.4793522109,8.19230244225244,0.529894205365858,"nbs.capelin","NBS","Capelin"
2024,49301.6597246016,13881.2250623816,175103.684341776,10.8057130252775,0.646655012097288,"nbs.capelin","NBS","Capelin"
2025,305.603823251767,82.1029486154844,1137.51939925436,5.72228956785471,0.670581524702329,"nbs.capelin","NBS","Capelin"
2004,902804.711983554,633326.505325331,1286944.95039494,13.7132615432114,0.180880960906727,"nbs.jellyfish","NBS","Jellyfish"
2005,774135.123793562,465068.238760037,1288596.25307607,13.5595017158795,0.259985538547887,"nbs.jellyfish","NBS","Jellyfish"
2006,266362.153358077,184425.664069402,384701.321801138,12.4926121405817,0.187559764862766,"nbs.jellyfish","NBS","Jellyfish"
2007,432191.775283796,294869.038792207,633466.746417512,12.9766246929891,0.195074039905548,"nbs.jellyfish","NBS","Jellyfish"
2009,501638.129038426,347291.975449617,724579.979653686,13.1256342802413,0.187612196043383,"nbs.jellyfish","NBS","Jellyfish"
2010,2126829.77796848,1474737.99993583,3067260.01815256,14.570143061816,0.186815757783224,"nbs.jellyfish","NBS","Jellyfish"
2011,1115101.39855266,775668.572256506,1603070.14300805,13.9244558991475,0.185194876888046,"nbs.jellyfish","NBS","Jellyfish"
2012,784877.268421289,486345.382857742,1266656.06007132,13.5732826385811,0.244192407390972,"nbs.jellyfish","NBS","Jellyfish"
2013,1612818.89877554,1039905.76595688,2501365.8789112,14.2934940747813,0.223908919188073,"nbs.jellyfish","NBS","Jellyfish"
2014,1929743.63394697,1321392.81276868,2818170.68836348,14.4728977199063,0.193218254740265,"nbs.jellyfish","NBS","Jellyfish"
